Thu,Ngay,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Holiday,Week number
4,01/22/14,1395.08,1339.16,1302.36,1328.16,1358.62,1466.51,1612.95,1992.53,2097.13,2172.46,2173.68,1978.62,2100.11,2262.59,2303.85,2290.51,2176.65,2201.17,2235.76,2127.2,2015.39,1838,1620.1,1465.13,0,4
5,01/23/14,1369.93,1318.32,1295.25,1296.96,1332.86,1414.09,1589.79,1989.76,2068.56,2144.15,2164.21,2007.45,2085.26,2241.54,2286.24,2268.29,2151.51,2161.96,2146.1,2052.66,1979.26,1814.2,1615.3,1427.88,0,4
6,01/24/14,1308.89,1271.87,1255.68,1254.92,1284.99,1379.56,1582.92,1940.37,2078.84,2171.45,2169.04,1993.36,2060.43,2169.06,2195.38,2160.49,2045.15,2066.88,2063.6,1974.86,1881.8,1751.7,1591,1420.7,0,4
7,01/25/14,1268.5,1243.26,1221.74,1228.19,1251.53,1316.44,1475.91,1809.32,1911.94,1966.62,1973.11,1826.41,1836.22,1872.88,1882.31,1847.22,1772.1,1819.12,1834.65,1763.99,1734.85,1609.1,1467.4,1315.5,0,4
CN,01/26/14,1196.47,1138.86,1106.45,1079.84,1134.1,1143.88,1238.14,1372.87,1444.36,1543.36,1583.08,1514.06,1492.43,1481.48,1494.56,1535.92,1548.1,1625.45,1686.31,1602.76,1571.93,1511.2,1351,1175.06,0,4
2,01/27/14,1112.38,1077.62,1051.42,1048.71,1067.31,1054.87,1255.24,1459.03,1543.67,1624.42,1650.44,1607.64,1603.06,1624.96,1635.62,1618.71,1595.16,1662.14,1667,1614.92,1561.31,1455,1324,1193.95,0,5
3,01/28/14,1057.64,1015.97,1009.42,980.94,999.81,1028.71,1089.62,1216.82,1307.95,1370.72,1414.17,1385.3,1374.95,1384.13,1383.96,1380.87,1376.21,1459.6,1490.03,1447.38,1410.93,1346.6,1220.1,1081.93,1,5
4,01/29/14,986.46,932.45,908.21,898.42,893.18,929.1,982.42,1024.06,1074.6,1139.87,1195.2,1204.73,1196.83,1222.16,1196.78,1215.3,1242.37,1328.69,1395.66,1351.66,1341.36,1277.7,1162.1,1036.57,1,5
5,01/30/14,902.84,860.89,824.93,824.58,844.62,878.01,937.03,1018.72,1065.46,1088.18,1089.3,1081.42,1074.9,1079.52,1092.61,1132.36,1175.37,1280.6,1375.63,1351.32,1348.06,1319.5,1271.4,1215.38,1,5
6,01/31/14,1045.04,913.54,844.34,820.07,814.25,809.95,876.87,921.63,913.41,885.59,883.95,884.31,900.31,926.11,956.31,996.73,1032.21,1127.63,1191.56,1181.4,1178.74,1134.9,1036.7,926.49,1,5
7,02/01/14,831.25,790.89,771.83,766.51,777.17,805.87,882.25,954.41,954.13,940.89,938.13,928.41,923.51,931.96,948.35,986.44,1020.22,1096.57,1176.9,1159.34,1141.48,1092.4,1002.5,899.96,1,5
CN,02/02/14,825.44,792.94,814.2,778.33,784.03,802.52,882.81,940.27,951.51,952.39,937.06,929.23,923.81,925.39,960.45,991.11,1029.51,1125.75,1193.76,1208.67,1163.36,1113.5,1016,910.86,1,5
2,02/03/14,819.75,795.41,775.25,770.87,779.57,802.93,857.45,921.06,959.2,978.61,994.02,990.74,985.1,994.06,1007.82,1049.36,1089.62,1164.44,1279.63,1254.9,1235.94,1165,1051.7,952.61,1,6
3,02/04/14,888.47,850.73,821.42,810.83,814.85,838.17,917.01,1010.83,1056.42,1094.28,1102.03,1088.61,1055.83,1103.25,1114.31,1131.67,1159.7,1270.3,1327.07,1310.95,1287.3,1217.7,1095.1,981.04,1,6
4,02/05/14,919.48,880.92,844.16,849.88,868.86,915.94,1047.31,1242.61,1351.92,1424.31,1430.45,1392.2,1413.53,1429.66,1449.07,1433.52,1436.77,1501.26,1547.55,1517.06,1493.05,1386.4,1263,1121.21,1,6
5,02/06/14,1060.21,996.06,990.83,980.04,1003.46,1064.49,1209.61,1463.57,1558.1,1617.16,1645.46,1601.88,1608.31,1662.58,1687.04,1682.27,1598.48,1638.39,1681.2,1598.09,1574.76,1474.7,1326.7,1198.79,1,6
6,02/07/14,1121.55,1075.45,1055.1,1048.02,1073.06,1128.85,1305.56,1618.25,1758.93,1786.91,1863.8,1791.16,1826.78,1924.5,1956.12,1871.11,1771.5,1747.7,1793.42,1758.41,1729.24,1625.2,1497.6,1349.14,0,6
7,02/08/14,1236.45,1192.5,1168.07,1149.92,1182.3,1230.4,1410.19,1722.5,1863.44,1925.77,1936.24,1839.64,1875.71,1953.74,1968.92,1938.39,1792.72,1831.27,1858.25,1810.57,1780.71,1709.4,1555.5,1396.49,0,6
CN,02/09/14,1305.36,1252.97,1210.23,1199.76,1194.11,1222.82,1305.98,1448.43,1546.34,1647.34,1686.32,1643.5,1639.71,1658.17,1742.87,1697.64,1731.16,1779.64,1859.71,1841.77,1849.09,1735.8,1557,1415.65,0,6
2,02/10/14,1295.36,1237.24,1210.85,1199.6,1258.7,1390.98,1595.56,2079.62,2273.62,2366.11,2386.15,2252.52,2313.26,2490.65,2483.01,2485.22,2228.74,2188.88,2189.68,2115.13,2094.78,1942.7,1785.1,1594.74,0,7
3,02/11/14,1497.54,1450.84,1418.48,1411.75,1426.62,1533.34,1689.36,2238.29,2425.63,2495.72,2497.28,2298.87,2429.3,2567.3,2586.14,2532.06,2329.55,2268.66,2284.06,2216.35,2167.41,2018.8,1812.2,1639.81,0,7
4,02/12/14,1544.92,1487.32,1459.22,1454.47,1462.77,1544.67,1733.99,2229.66,2381.98,2480.87,2504.4,2297.78,2418.17,2539.39,2603.4,2551.54,2362.79,2287.47,2296.89,2189.05,2142.22,2019.9,1827.4,1641.77,0,7
5,02/13/14,1526.56,1480.87,1435.26,1434.46,1462.4,1552.12,1754.48,2193.67,2428.8,2499.01,2518.24,2320.67,2445.37,2600.48,2626.43,2594.75,2397.3,2323,2316.17,2232.75,2161.29,2023.9,1858.3,1683.55,0,7
6,02/14/14,1547.21,1477.23,1451.13,1445.13,1469.28,1565.23,1727.58,2233.61,2406.88,2495.61,2483.56,2291.67,2419.88,2575.9,2593.46,2566.32,2361.31,2273.47,2255.45,2174.54,2131.86,2008.6,1887.4,1706.53,0,7
7,02/15/14,1561.86,1498.44,1458.51,1411.35,1451.8,1506.83,1688.02,2163.04,2315.4,2417.57,2436.43,2244.29,2353.44,2475.34,2475.9,2434.01,2178.8,2121.86,2189.43,2139.04,2109.72,2013.3,1854.7,1673.83,0,7
CN,02/16/14,1555.27,1484.3,1439.08,1392.6,1401.24,1376.19,1455.53,1620.62,1696.34,1783.23,1845.01,1783.03,1807.46,1845.98,1867.61,1864.98,1811.01,1861.73,1962.97,1936.54,1928.95,1811.9,1624.2,1458.13,0,7
2,02/17/14,1368.46,1315.38,1286.82,1293.37,1351.48,1466.58,1702.55,2258.74,2430.47,2547.38,2571.83,2348.68,2451.7,2618.41,2644.25,2612.47,2407.3,2319.86,2350.76,2249.31,2200.28,2054.4,1813.3,1662.13,0,8
3,02/18/14,1536.02,1492.09,1464.83,1444.93,1463.24,1611.25,1809.74,2306.27,2473.14,2548.06,2562.03,2344,2439.92,2650.48,2674.52,2606.84,2420.71,2354.81,2382.95,2296.26,2240.49,2015.9,1842.5,1673.51,0,8
4,02/19/14,1582.81,1524,1497.11,1485.51,1510.83,1587.62,1797.08,2278.99,2433.63,2546.49,2575.07,2336.86,2430.3,2618.17,2652.96,2650.78,2416.84,2335.87,2395.97,2269,2227.86,2079.7,1851,1701.17,0,8
5,02/20/14,1526.17,1504.7,1475.5,1470.66,1499.64,1596.83,1776.54,2279.71,2402.18,2526.34,2547.63,2328.79,2469.95,2656.3,2675.12,2675.36,2471.33,2387.89,2411.42,2342.6,2272.62,2151.8,1949.4,1764.33,0,8
6,02/21/14,1591.09,1488.54,1443.73,1416.18,1477.09,1565.61,1780.33,2271.63,2467.27,2563.87,2579.77,2360.98,2492.44,2674.5,2643.7,2608.65,2422.17,2262.11,2402.21,2327.19,2267.04,2136.7,1929.5,1728.8,0,8
7,02/22/14,1642.96,1573,1536.79,1529.73,1528,1597.15,1776.4,2290.97,2422.58,2544.74,2541.53,2282.95,2402.79,2516.81,2530.14,2474.73,2238.4,2187.68,2223.06,2152.78,2140.25,2062,1896.3,1725.17,0,8
CN,02/23/14,1566.4,1512.55,1453.97,1447.21,1444.91,1429.5,1503.36,1657.8,1758.57,1866.48,1941.54,1850.87,1867.38,1856.52,1899.58,1897.54,1863.86,1875.56,1992.91,1950.16,1940.41,1840.2,1670.9,1463.93,0,8
2,02/24/14,1400.46,1350.8,1323.6,1296.9,1344.77,1479.15,1727.01,2246.6,2469.95,2555.67,2569.48,2361.54,2499.07,2666.65,2655.4,2646.62,2444.68,2354.84,2389.2,2211,2231.4,2083.6,1860.5,1681.5,0,9
3,02/25/14,1557.56,1502.53,1466.84,1460.84,1498.16,1615.94,1775.88,2297.54,2486.85,2571.52,2581.29,2350.37,2500.94,2627.73,2694.86,2688.49,2478.52,2388.55,2413,2332.58,2248.67,2109.8,1918,1714.45,0,9
4,02/26/14,1575.68,1547.78,1527,1515.94,1538.73,1636.52,1796.45,2339.73,2497.41,2575.65,2593.39,2362.11,2514.32,2701.2,2725.69,2677.11,2431.27,2373.23,2416.49,2342.56,2275.57,2109.6,1896,1709.17,0,9
5,02/27/14,1557.52,1548.04,1523.35,1520.3,1541.96,1643.06,1804.96,2361.84,2483.77,2594.93,2579.98,2353.59,2419.74,2686.45,2689.59,2676.94,2457.42,2374.77,2399.37,2321.38,2271.81,2116.3,1934,1749.72,0,9
6,02/28/14,1521.41,1559.06,1531.27,1508.13,1547.61,1615.27,1795.94,2323.22,2499.95,2589.89,2609.83,2366.19,2488.85,2691.67,2716.83,2662.71,2429.16,2353.12,2407.66,2327.54,2288.07,2156.5,1975.6,1803.9,0,9
7,03/01/14,1608.4,1594.19,1550.39,1530.88,1549.63,1604.52,1783.47,2258.67,2423.07,2500.34,2517.48,2276.96,2401.56,2514.16,2500.38,2476.33,2249.25,2168.12,2212.54,2172.33,2147.27,2063.1,1898.2,1727.06,0,9
CN,03/02/14,1574.2,1513.87,1462.16,1447.51,1434.17,1423.22,1478.93,1658.94,1758.38,1851.06,1926.48,1838.77,1876.76,1912.98,1913.13,1888.55,1833.63,1877.59,1955.43,1963.16,1980.82,1905,1701.6,1544.87,0,9
2,03/03/14,1565.94,1362.87,1350.37,1355.75,1398.24,1542.57,1758.83,2297.71,2490.77,2628.99,2658.32,2432.2,2544.52,2732.78,2757.92,2728.8,2471.24,2375.36,2416.6,2369.49,2333.06,2188.2,1997.1,1779.8,0,10
3,03/04/14,1662.09,1588.78,1544.85,1532.09,1569.12,1652.06,1846.54,2366.3,2583.5,2654.56,2655.5,2457.41,2564.79,2711.9,2730.21,2722.98,2496.34,2397.07,2424.8,2355.67,2319.73,2165,1940.9,1751,0,10
4,03/05/14,1630.09,1576.44,1551.05,1546.82,1572.15,1682.25,1880.27,2358.2,2553.13,2650.12,2661.17,2411.38,2560.89,2744.76,2769.63,2724.81,2486.23,2390.63,2408.06,2351.96,2335.85,2116.2,1957.8,1763.43,0,10
5,03/06/14,1650.34,1593.4,1538.07,1534.98,1579,1653.74,1846,2367.32,2581.2,2672.38,2613.83,2440.39,2569.14,2769.52,2788.66,2749.92,2554.15,2444.32,2475.25,2408.88,2369.74,2221.8,2012.3,1771.56,0,10
6,03/07/14,1682.87,1614.16,1568.94,1558.94,1587.33,1676.24,1852.28,2345.19,2573.93,2692.34,2712.12,2474.19,2561.62,2765.5,2815.25,2770.88,2551.87,2450.58,2471.88,2410.26,2357.05,2245,2052.4,1861.59,0,10
7,03/08/14,1694.18,1652.93,1576.26,1588.56,1603.59,1635.5,1808.49,2315.14,2494.95,2595.8,2591.79,2366.49,2488,2648.12,2609.58,2574.5,2296.66,2213.61,2231.66,2169.25,2180.96,2100.5,1912.3,1758.59,0,10
CN,03/09/14,1684.09,1612.44,1562.97,1535.98,1518.32,1501.07,1557.04,1684.42,1798.86,1873.25,1977.51,1919.4,1953.02,1990.93,2008.49,1977.45,1918.55,1915.43,2043.41,2038.36,2062.65,1982.3,1805.2,1628.74,0,10
2,03/10/14,1520.43,1452.41,1421.03,1416.3,1454.38,1579.05,1797.67,2376.35,2625.91,2719.71,2775.15,2538.96,2601.07,2800.99,2831.93,2798.07,2557.17,2452.05,2472.34,2425.74,2405.24,2289.3,2091.5,1905.04,0,11
3,03/11/14,1748.26,1689.24,1647.05,1634.22,1636.31,1722.55,1867.12,2458.91,2568.98,2740.62,2746.85,2521.7,2646.14,2862.48,2884.93,2840.79,2609.74,2488.93,2522.32,2488.19,2467.78,2359.7,2173.6,1948.9,0,11
4,03/12/14,1824.88,1739.66,1692.11,1657.24,1674.63,1732.18,1900.81,2425.51,2652.59,2751.31,2779.73,2581.01,2722.52,2941.37,2945.65,2879.69,2602.64,2497.33,2540.72,2502.49,2488.48,2405.8,2191.8,1973.3,0,11
5,03/13/14,1828.69,1758.85,1702.02,1698.28,1691.13,1770.99,1893.51,2523.09,2709.47,2787.15,2799.71,2561.85,2686.54,2923.53,2943.13,2880.08,2631.64,2508.91,2542.28,2520.73,2505.33,2391.2,2185.3,1991.36,0,11
6,03/14/14,1865.15,1789.32,1740.85,1725.97,1738.71,1789.14,1966.67,2546.66,2744.39,2827.3,2836.26,2635.08,2790.45,2984.69,2976.47,2922.24,2646.24,2510.94,2567.83,2519.05,2518.85,2436.1,2271.7,2090.53,0,11
7,03/15/14,1902.31,1817.03,1769.69,1719.05,1742.42,1763.95,1950.49,2460.8,2636.06,2696.9,2737.22,2484.72,2657.3,2814.7,2807.15,2748.01,2430.13,2313.85,2408.3,2375.62,2454.53,2415.1,2276.6,2092.15,0,11
CN,03/16/14,1946.57,1837.88,1775.3,1719.78,1697.11,1649.56,1705.29,1838.05,1964.94,2082.81,2172.26,2090.89,2173.38,2275.43,2267.95,2212.99,2096.95,2087.35,2217.96,2222.87,2287.67,2285.6,2145.2,1964.48,0,11
2,03/17/14,1796.34,1711.42,1671.05,1648.05,1651.44,1738.98,1957.09,2541.72,2768.1,2888.45,2913.61,2727.26,2914.96,3028.97,3059.72,2987.35,2733.94,2578.94,2454.16,2435.73,2506.9,2453.8,2283.5,2104.91,0,12
3,03/18/14,1981.95,1895.28,1827.23,1796.95,1794.95,1824.33,1977.65,2536.12,2736.47,2833.8,2869.38,2694.77,2823.53,3029.61,2968.14,2869.6,2695.32,2543.7,2501.48,2539.12,2537.89,2438.5,2254.5,1993.68,0,12
4,03/19/14,1947.24,1842.12,1804.93,1771.71,1772.2,1810.08,1939.7,2506.93,2689.08,2790.16,2808.65,2587.85,2721.84,2912.22,2928.37,2858.54,2611.39,2492.29,2532.14,2487.79,2457.49,2385.9,2204.7,2021.9,0,12
5,03/20/14,1875.91,1804.21,1758.35,1714.92,1714.32,1790.23,1941.86,2489.66,2727.24,2814.41,2845.73,2625.89,2797.31,2974.49,2984.57,2950.88,2711.31,2647.21,2640.84,2628,2651.14,2538,2310.1,2086.5,0,12
6,03/21/14,1975.01,1837.34,1826.64,1793.03,1799.4,1861.4,2035.6,2596.8,2758.55,2807.4,2807.41,2600,2735.71,2873.82,2870.88,2842.61,2591.85,2499.59,2521.03,2457.79,2440.4,2361.1,2157.4,1980.02,0,12
7,03/22/14,1848.07,1749.63,1716.39,1683.03,1688.01,1732.03,1872.17,2405.85,2611.85,2689.81,2706.86,2516,2630.64,2812.97,2814.24,2713.3,2403.63,2322.81,2396.86,2383.95,2417.19,2308.1,2250.9,2050.85,0,12
CN,03/23/14,1920.86,1812.23,1742.53,1699.09,1665.28,1613.07,1650.1,1840.55,1951.76,2058.12,2129.38,2058.14,2127.04,2146.24,2125.25,2094.55,2033.39,2045.92,2169.1,2188.69,2231.05,2202.8,2034.8,1836.21,0,12
2,03/24/14,1751.3,1655.23,1597.98,1548.06,1574.14,1676.48,1867.58,2503.06,2712.73,2815,2851.33,2658.83,2811.91,2983.74,3015.57,2946.62,2673.56,2582.25,2597.95,2567.33,2601.66,2479.7,2322.5,2075.3,0,13
3,03/25/14,1918.31,1835.15,1775.09,1744.58,1728.41,1803.98,1976.32,2540.87,2749.13,2810.05,2873.06,2664.9,2834.37,2987.33,2988.51,2929.2,2713.65,2536.01,2576.45,2558.36,2531.23,2420.6,2218.4,2041.17,0,13
4,03/26/14,1890.37,1767.5,1740.33,1739.39,1770.7,1796.24,1967.71,2530.4,2741.75,2814.99,2837.06,2649.6,2813.66,2988.87,2972.3,2924.04,2729.41,2602.88,2572.63,2584.5,2589.46,2518.9,2344.2,2106.28,0,13
5,03/27/14,1988.64,1889.49,1831.95,1789.42,1799.32,1836.83,1964.16,2564.96,2772.54,2879.91,2909.73,2735.49,2893.91,3036.99,3055.57,2979.28,2695.31,2565.21,2635.64,2610.5,2625.94,2564,2371.5,2167.6,0,13
6,03/28/14,2004.16,1914.97,1868.25,1818.09,1846.13,1890.55,2032.58,2592.58,2774.72,2857.7,2868.03,2676.13,2825.51,3016.64,3022.43,2966.32,2711.36,2573.92,2607.36,2582.17,2594.18,2505.8,2326.5,2118.3,0,13
7,03/29/14,1995.23,1903.4,1852.15,1800.92,1801.03,1815.9,1991.72,2541,2711.65,2790.89,2825.02,2622.74,2768.25,2905.25,2884.84,2778.16,2477.9,2367.81,2448,2410.3,2474.4,2454,2347.2,2084.76,0,13
CN,03/30/14,1959.61,1883.71,1794.26,1735.18,1727.32,1698.17,1723.38,1842.31,1973.8,2096.3,2151.7,2105.15,2161.81,2233.12,2258.6,2188.1,2098.66,2088.55,2190.95,2274.79,2348.8,2282,2155.5,1976.43,0,13
2,03/31/14,1796.87,1708.33,1639.9,1635.64,1666.5,1759.71,1949.94,2571.48,2829.88,2863.41,2900.8,2742.99,2907.46,3062.29,3061.68,3012.12,2706.64,2595.49,2659.32,2630.64,2667.02,2597.1,2398.7,2200.2,0,14
3,04/01/14,2026.17,1938.75,1894.03,1852.85,1846.33,1884.61,2052.35,2638.59,2844.81,2954.94,2945.95,2764.74,2926.21,3013.67,3077.8,2964,2734.46,2606.03,2654,2656.26,2685.31,2598.2,2377.4,2187.59,0,14
4,04/02/14,2025.99,1963.3,1905.79,1877.26,1877.5,1935,2088.4,2643.99,2840.21,2937.92,2954.22,2753.88,2862.28,3066.31,3067.61,3001.86,2735.01,2594.05,2643.18,2630.49,2680.53,2609.5,2422.8,2216.63,0,14
5,04/03/14,2070.62,1972.27,1923.92,1899.54,1879.05,1923.61,2070.71,2686.97,2864.37,2976.66,2988.26,2790.16,2928.76,3119.97,3123.58,3047.93,2746.64,2560.53,2637.9,2668.88,2634.89,2595.7,2476.5,2243.18,0,14
6,04/04/14,2083.39,1983.42,1923.61,1889.37,1889.61,1933.46,2088.42,2673.8,2832.55,2936.64,2966.29,2725.06,2874.22,3020.91,2993.93,2923.37,2691.26,2597.71,2634.57,2567.53,2575.4,2520.4,2345.2,2150.64,0,14
7,04/05/14,2019.37,1933.95,1865.41,1847.34,1818.36,1847.48,1999.63,2464.87,2723.15,2819.01,2852.54,2642.4,2779.88,2885.03,2882.31,2761.73,2455.74,2370.25,2449.08,2450.42,2509.21,2504.8,2381.8,2151.5,0,14
CN,04/06/14,1986.06,1863.29,1805.54,1792.29,1707.39,1625.3,1660.76,1830.36,1923.72,2037.6,2131.12,2096.53,2177.54,2231.96,2211.69,2133.97,2061.69,2048.91,2181.25,2215.6,2298.2,2252.9,2065.8,1888.92,0,14
2,04/07/14,1739.12,1675.02,1635.57,1635.61,1644.23,1759.04,1938.86,2586.8,2791.58,2887.01,2903.47,2705.16,2699.91,2760.01,2739.9,2757.89,2605.61,2488.22,2529.59,2434.86,2497.65,2337.8,2135.1,1938.87,0,15
3,04/08/14,1815.19,1757.5,1715.9,1705.32,1720.93,1794.45,1957.87,2587.54,2758.52,2858.78,2848.46,2640.28,2711.41,2826.69,2847.95,2803.57,2597.81,2501.69,2408.65,2448.39,2462.98,2371.5,2209.3,2019.79,0,15
4,04/09/14,1870.78,1770.13,1687.87,1674.09,1648.57,1604.35,1654.92,1814.44,1927.63,2050.03,2111.56,2052.48,2093.77,2175.45,2215.6,2179.58,2093.24,2082.55,2171.99,2186.38,2256.6,2244.3,2068.5,1892.37,1,15
5,04/10/14,1781.12,1701.73,1669.09,1652.1,1671.04,1747.97,1973.68,2537.13,2796.59,2890.7,2900.15,2697.7,2832.37,3013.2,3025.81,2959.24,2702.87,2559.51,2514.04,2496.33,2539.68,2350.1,2154.6,1981.77,0,15
6,04/11/14,1920.47,1841.44,1783.34,1761.98,1757.47,1830.13,2016.57,2608.07,2791.95,2863.15,2839.26,2677.09,2807.14,2988.67,2997.27,2928.73,2705.62,2586.13,2606.81,2570.45,2591.29,2458.7,2332.4,2134.97,0,15
7,04/12/14,1917.53,1892.65,1838.94,1786.15,1783.71,1827.53,1979.94,2537.88,2701.38,2800.33,2820.36,2555.23,2755.98,2845.21,2839.69,2770.64,2470.14,2432.44,2445.28,2434.67,2454.54,2428.2,2307.6,2100.2,0,15
CN,04/13/14,1985.92,1878.71,1820.62,1778.24,1737.14,1701.89,1721.09,1914.99,2018.6,2134.21,2220.3,2125.48,2163.22,2218.09,2195.39,2135.16,2042.71,2070.98,2197.17,2224.75,2319.56,2279.9,2117.8,1899,0,15
2,04/14/14,1776.4,1702,1659.4,1653.8,1657,1765.7,1986,2601.5,2817.2,2923.5,2937,2722.1,2873.9,3080.8,3071.8,2991.3,2731.4,2591.1,2640.2,2617.6,2640.3,2544.2,2381.4,2179.3,0,16
3,04/15/14,2033.6,1941.8,1878.2,1837.7,1841.3,1900.8,2049.6,2632.8,2874.2,2935.6,2947.8,2733.6,2880.2,3025,3062.7,2955.7,2652.2,2550.5,2612,2582.8,2611.5,2546.7,2341.3,2129.1,0,16
4,04/16/14,1965.8,1907.5,1840.5,1822.2,1793.8,1817,1939.8,2508.4,2740.7,2824.2,2866.8,2640.3,2797.8,2972.9,2947.7,2809.6,2600.5,2544.1,2571.5,2515.4,2579.4,2491.6,2296.6,2104,0,16
5,04/17/14,1950.5,1880.7,1843.8,1795.4,1817.3,1878.3,2001.9,2570.2,2814.9,2893.5,2924.4,2704.4,2859.7,3059.5,3069.5,2972,2778.7,2593.7,2601.9,2590.7,2624.5,2534.2,2357.7,2181.7,0,16
6,04/18/14,2002.5,1910.6,1857.4,1843.9,1849.9,1885.2,2051.3,2643.8,2794.6,2947.8,2956.1,2737.3,2862.8,3075.5,3084.8,3001.2,2717.1,2598.3,2666.1,2655.3,2673,2640.8,2464.2,2264.7,0,16
7,04/19/14,2064.4,2005.6,1998.6,1881.2,1883.4,1874.5,2047.2,2587,2749.7,2859.9,2890.3,2687.3,2834.4,2876.3,2875.5,2772.4,2494.7,2411.3,2466.6,2453.5,2500.7,2488.6,2358.5,2207,0,16
CN,04/20/14,2056,1967.2,1846.3,1827.5,1799.8,1735.1,1763.6,1913.6,2015.6,2165.5,2230.6,2180.7,2270.2,2378.5,2358.6,2273.5,2137.3,2139.8,2271,2332.2,2423.6,2408.4,2303.5,2117.1,0,16
2,04/21/14,1936,1859.7,1781.6,1730.9,1760.9,1847.7,2033.3,2695.4,2906.1,2990.8,3041.3,2814.4,2948.3,3151.1,3128,3074.2,2797.4,2723.8,2751.3,2750.2,2780.6,2703.2,2518.5,2306.9,0,17
3,04/22/14,2204.9,2099.2,2036.4,2005.4,2000.4,2005.4,2149.2,2717.4,2953.5,3044.3,3041.1,2801.6,2945.5,3157.5,3156.1,3100.7,2825.3,2619,2753.8,2742.4,2788.1,2702,2528.4,2297.2,0,17
4,04/23/14,2175.5,2063.2,1985.8,1941.4,1932.7,1975,2131.2,2749.4,2941.3,3030,3042.8,2862,3012.5,3189.8,3218.9,3130.6,2866.4,2726.8,2812.3,2798.2,2861,2794.4,2642.3,2425.1,0,17
5,04/24/14,2253.8,2109.9,2079.2,1961.5,1996.2,2012.3,2148.5,2777,2988.9,3090.4,3113.4,2888.6,3059.2,3219.9,3212.4,3112.9,2877.4,2701.5,2795.2,2808.5,2869.5,2822.3,2651,2438.6,0,17
6,04/25/14,2247.7,2160.8,2081.4,2027.1,2012.8,2011.4,2130.4,2739.3,2950.1,3048.3,3076.3,2893.8,3032,3242.7,3224.8,3125.3,2823.4,2647.5,2714.4,2744.5,2794.6,2745.3,2592.1,2396.3,0,17
7,04/26/14,2242.4,2148.1,2070.8,2025.1,2006.6,2014.1,2152,2714.6,2913.3,3028.5,2990,2866.3,3060.3,3157.9,3127.8,2982.9,2693.7,2536.1,2605.9,2636.7,2686.7,2663.2,2538.8,2340.3,0,17
CN,04/27/14,2172.5,2064.2,1983.9,1938.1,1900.1,1842.9,1883.4,2089.7,2197.7,2338.1,2398,2342.3,2412.3,2522.7,2486.7,2323.4,2227.9,2265.2,2353.1,2434.3,2556.7,2559.8,2417.4,2222.6,0,17
2,04/28/14,2057,1970,1921.4,1882.3,1853.9,1878.7,2024.7,2549.1,2764.6,2838,2844,2758.7,2910.5,3056,3027.5,2947.1,2764.2,2690.7,2653,2604.7,2773.2,2675.1,2458.9,2252.9,0,18
3,04/29/14,2099.5,1986.5,1891,1874.6,1871.3,1868.2,2008.1,2601.8,2773.8,2853.8,2872.7,2740.2,2878.3,3014.5,2959.7,2825.8,2590,2444.7,2404.8,2375.6,2378.6,2288.2,2112.3,1944.9,0,18
4,04/30/14,1806.1,1722,1649.3,1616.1,1573.5,1468.7,1454.6,1525.6,1593.7,1648.2,1624.6,1572,1516.2,1505.4,1516.2,1537.1,1553.4,1639,1745.2,1724.5,1751,1711.6,1578,1424.3,1,18
5,05/01/14,1335.2,1275.7,1246.7,1200.2,1193.3,1199.4,1237.9,1311.8,1414.8,1511,1580.8,1595,1607.3,1576.2,1573.9,1548.7,1552.8,1607.1,1785.5,1816.3,1875.1,1864.4,1723.3,1572.6,1,18
6,05/02/14,1458.7,1386.1,1336.1,1305.5,1333.2,1405.3,1640.6,2145.1,2358,2448.2,2491.6,2326.7,2436.9,2482.8,2454.2,2422,2274.9,2214.1,2267.4,2227.2,2212.2,2092.9,1925.8,1755.5,0,18
7,05/03/14,1639.1,1570.2,1525.3,1510.2,1513.4,1557.7,1728.3,2194.7,2367.2,2486.5,2527.3,2351.3,2411.7,2470.5,2461.2,2401,2225.9,2185.3,2267,2255.3,2318.8,2268.4,2120.7,1927.8,0,18
CN,05/04/14,1806.9,1720.4,1666.8,1626.6,1598.1,1585.5,1627.1,1815.5,1975.2,2119.7,2179.8,2123.1,2216,2274.2,2236.2,2173.6,2096.6,2102.7,2213.8,2271.5,2351.4,2335.8,2168.8,1984.3,0,18
2,05/05/14,1843.2,1749.8,1703.6,1675.2,1708.3,1778.7,1981,2445.73,2672.6,2898.6,2980.1,2983.7,2791.2,3141.6,3090.7,3039.7,2813.4,2685.2,2726.7,2751.6,2780,2704.1,2530.4,2332.8,0,19
3,05/06/14,2149.8,2062.1,1986.2,1925.2,1906,1941.1,2094,2717.7,2926.8,3001.6,3001.4,2819.4,2932.9,3130,3116.9,3068.4,2815.5,2656.7,2800.9,2825,2847,2782.9,2644.1,2398.1,0,19
4,05/07/14,2239.6,2129.2,2041.2,1989.2,1939.6,1978.4,2114.5,2754.9,2979.5,3076.8,3085.6,2875.2,3080.8,3226.4,3146.2,3078.4,2867.2,2761.1,2683.8,2788.3,2820.7,2713.1,2512.5,2337.8,0,19
5,05/08/14,2147.1,2069.1,1999,1955.8,1928.1,1971,2119.9,2702.5,2938.4,3056.5,3076,2897.5,3055.8,3197.8,3155.4,3106.6,2862.5,2704.9,2793.8,2767.5,2845.2,2799.7,2607.7,2390.3,0,19
