Thu,Ngay,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Holiday,Week number
2,12/06/10,1275.7,1180,1163.1,1167.1,1174.6,1286.3,1482.3,2004.3,2188.8,2277.4,2296.4,2093.1,2200.9,2331.5,2348.5,2354.5,2228.2,2212.9,2137.03,2058.41,2042.78,1895.4,1688.2,1520.3,0,49
3,12/07/10,1415.62,1301.88,1324,1311.19,1312.7,1395.08,1555.62,2034.18,2212.18,2294.14,2299.3,2088.12,2197.75,2353.02,2357.64,2360.8,2220.4,2235.63,2146.58,2113.65,2062,1914.5,1693.4,1534.8,0,49
4,12/08/10,1449.78,1328.63,1295,1275.98,1292.4,1367.13,1500.45,2001.01,2133.54,2216.84,2200.31,2008.7,2158.04,2314.4,2339.1,2332.4,2178.8,2138.4,2111.3,1989,1946.2,1829.4,1631.3,1469.1,0,49
5,12/09/10,1385.5,1314.4,1286.3,1278.6,1285.8,1368.2,1507.7,1969.9,2121.7,2165.6,2226.7,1980.1,2090.7,2270.64,2248.05,2247,2167.52,2186.27,2106.6,2045.5,1979.1,1854.6,1668.5,1513.5,0,49
6,12/10/10,1390,1322.8,1288.2,1273,1291.5,1375.6,1554.3,2021.79,2189.91,2260.4,2246.4,1993.3,2124.5,2300.3,2306.6,2294.2,2196.9,2174,2105.67,2052.34,2003.62,1926,1722.5,1535.6,0,49
7,12/11/10,1405.1,1359.16,1318.25,1304.32,1306.9,1360.58,1517.51,1952.7,2121.5,2196.5,2206.1,1966.7,2050.9,2160.9,2131.14,2121.5,1999.5,2038.9,1970,1920.4,1924.51,1832.3,1661.3,1490.1,0,49
CN,12/12/10,1368.3,1301.09,1256.81,1228.3,1221.6,1221.61,1293.5,1454.2,1567.3,1650.5,1657.1,1574.8,1627.4,1609.9,1619,1616.1,1663.1,1785,1755.4,1767.8,1775.18,1674.6,1523.1,1349.3,0,49
2,12/13/10,1233.68,1177.65,1145.82,1154.3,1189.2,1306.47,1479.6,1998.1,2190.14,2267.9,2294.84,2040.73,2163.1,2306.94,2328.23,2327.4,2254.7,2201.75,2098,2068.9,2005.6,1863.1,1676,1516.1,0,50
3,12/14/10,1444.8,1402.1,1356.3,1353.8,1369.8,1463.4,1569,2057,2164.2,2254,2254.1,1994.6,2035.6,2198.4,2214,2204.9,2107.5,2169.1,2098.15,2033.5,1960.11,1806.8,1581.6,1431.8,0,50
4,12/15/10,1328.1,1286.68,1262.16,1260.84,1281.8,1364.99,1571.45,2015.1,2185,2214.6,2227.54,2014.331,2135.6,2343.8,2330.3,2326.33,2192,2181,2113.7,2033.5,2007.7,1888,1680.3,1518.8,0,50
5,12/16/10,1403.8,1325.2,1295.9,1272.3,1288,1352.7,1545.9,1986.3,2181.97,2241.13,2249.99,2081.6,2208.93,2347.517,2376.8,2374.1,2237.3,2219.3,2147.54,2128.69,2030.29,1934.6,1744.9,1549.5,0,50
6,12/17/10,1454.2,1371.3,1273.62,1313,1321,1365.82,1494.18,1948.5,2099.1,2193.9,2208.7,1977.4,2072.4,2273.1,2279.5,2280.1,2146.2,2187,2089.5,2039.4,1946.6,1784.1,1580.9,1442,0,50
7,12/18/10,1293.8,1227.9,1193.1,1198.3,1210.2,1257.9,1426.1,1855.8,1994.7,2083.8,2095.7,1870.34,1998.21,2086.8,2086.3,2086.01,1979.1,1991.7,1932.93,1877.37,1855.78,1758.5,1581.7,1402.7,0,50
CN,12/19/10,1294.98,1233.25,1190.35,1164.5,1155.94,1157.47,1242.07,1420.28,1518.39,1580.4,1591.31,1504.78,1508,1570.87,1584.19,1600.5,1631.15,1737.91,1705.2,1643.9,1694.53,1598.6,1407,1257.6,0,50
2,12/20/10,1182,1120.21,1156.8,1165.12,1182.9,1294.02,1473.1,1918.27,2091.25,2193.1,2207.43,1985,2071.3,2252.8,2264.37,2294.3,2159.15,2031.7,2108.3,2075.97,2027.6,1862.7,1672.8,1469.45,0,51
3,12/21/10,1365.4,1306.2,1273.8,1262.6,1282.9,1371.5,1534.8,2010.1,2167.5,2250,2260.13,2012.28,2133.2,2319.01,2331.8,2282.07,2168.78,2179.85,2077.6,2063.5,1992,1831.9,1615.5,1424.3,0,51
4,12/22/10,1363.2,1310.3,1277.1,1249.8,1280.8,1350.4,1546.6,1994.7,2155.9,2225.1,2243.8,1990.1,2099.6,2264.1,2289.5,2292.4,2150.6,2156.7,2115,2050.6,1893.5,1739.6,1491.4,1338.2,0,51
5,12/23/10,1376.5,1303.2,1314.2,1310.7,1313.7,1365.5,1547.5,1979.4,2117.4,2191.7,2225.3,2002.4,2088.2,2249.2,2260.3,2246.62,2182.7,2199.33,2120.71,2060.2,1987.43,1834.6,1651.4,1483.7,0,51
6,12/24/10,1342.2,1280.6,1241.71,1227.4,1237.6,1308.1,1509.54,1992.74,2154.35,2215.64,2221.66,1996.45,2095.11,2277.1,2258.1,2232,1992.9,1950.9,1831.2,1784.9,1748.2,1673.4,1563.5,1439.92,0,51
7,12/25/10,1330.4,1261.4,1222.8,1209,1224.3,1264.5,1419.21,1837.4,1978.9,2064.8,2088.1,1872.3,1966.7,2057.72,2065.1,1994.3,1869.41,1932.5,1893.2,1882.7,1873.4,1756.1,1634.4,1477.1,0,51
CN,12/26/10,1325.07,1221.81,1214.17,1189.41,1172.3,1154.43,1197.71,1377.48,1490.37,1584.05,1630.06,1519.67,1556.17,1623.8,1640.64,1656.6,1639.8,1749.7,1736.5,1719.9,1725,1628.2,1457.1,1284.45,0,51
2,12/27/10,1178.23,1129.5,1111.86,1104.93,1132.9,1226.58,1418.74,1864.4,2047,2110.4,2128.1,1907,2017.4,2190.8,2228.8,2241.7,2129.9,2157.5,2112.1,2057.4,2003.6,1849.9,1636.6,1451,0,52
3,12/28/10,1331.9,1261.8,1213.21,1217.8,1231.6,1285.13,1458.3,1862.72,1990.92,2099.7,2118.51,1938.45,2024.75,2182.4,2225.1,2243.3,2163.8,2149.8,2036.35,2019.14,1899.69,1827.1,1631.9,1466.77,0,52
4,12/29/10,1307.3,1258.96,1234.8,1237.51,1250.8,1330.55,1480.48,1902.44,2116.5,2143,2168.8,1932.3,2034.12,2171,2241.1,2235.8,2191.4,2193.5,2125.5,2058.9,1977.1,1817.5,1607.2,1456.9,0,52
5,12/30/10,1340.5,1287.2,1257.5,1243.4,1265.4,1339.4,1521.9,1968.9,2081.34,2115,2105.5,1917.32,1996.3,2159.6,2238.3,2260.3,2174.6,2188.5,2105.06,2076.62,2012.27,1861.8,1667.1,1452.88,0,52
6,12/31/10,1353.05,1287.93,1258.9,1253.18,1278.3,1339.14,1496,1941.85,2107.64,2194.3,2215,1971.4,2053.8,2176.1,2186.8,2158.1,1985.1,2013.66,1954.7,1872.23,1822.7,1703,1543.7,1402.3,0,52
7,01/01/11,1274.5,1213.6,1150.5,1128.1,1102.5,1110.9,1075.3,1152.39,1217.01,1269.6,1321.25,1288.86,1284.14,1293.8,1301.13,1329.18,1385.94,1497.17,1493.6,1478.1,1491.5,1430.5,1276.5,1139.3,1,52
CN,01/02/11,1031.3,977,946.1,932.3,932.8,964.78,1087.2,1234.23,1352.6,1438.6,1498.7,1399.9,1416,1454.13,1475.98,1500.23,1546.08,1638.8,1631.1,1611.1,1624.7,1535.2,1379.2,1229.91,0,52
2,01/03/11,1124.32,1059.76,1031.68,1034.2,1011.4,1134.28,1373.25,1795.28,1979.82,2068.83,2091.31,1869.84,1969.49,2097.94,2130.92,2147.24,2043.64,2077.41,2076.3,1943.02,1960.2,1833.2,1570.8,1403.2,0,1
